ID                                     0xb1d9
Delivery_person_ID             BANGRES11DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 12.934365
Restaurant_longitude                77.616155
Delivery_location_latitude          12.944365
Delivery_location_longitude         77.626155
Order_Date                         09-03-2022
Time_Orderd                             10:35
Time_Order_picked                       10:45
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 3682, dtype: object
