ID                                    0xddde
Delivery_person_ID             GOARES17DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                15.496162
Restaurant_longitude               73.825364
Delivery_location_latitude         15.516162
Delivery_location_longitude        73.845364
Order_Date                        17-02-2022
Time_Orderd                             8:60
Time_Order_picked                       9:15
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 30946, dtype: object
