ID                                        0xceb
Delivery_person_ID               CHENRES03DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   13.091809
Restaurant_longitude                  80.219104
Delivery_location_latitude            13.221809
Delivery_location_longitude           80.349104
Order_Date                           25-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:30
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 42042, dtype: object
