ID                                       0xc03f
Delivery_person_ID               LUDHRES16DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                  -30.895817
Restaurant_longitude                  75.813112
Delivery_location_latitude            30.905817
Delivery_location_longitude           75.823112
Order_Date                           11-02-2022
Time_Orderd                               10:10
Time_Order_picked                         10:15
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      13.000000
Name: 427, dtype: object
