ID                                       0x5e1e
Delivery_person_ID               INDORES03DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.751857
Restaurant_longitude                  75.866699
Delivery_location_latitude            22.821857
Delivery_location_longitude           75.936699
Order_Date                           06-03-2022
Time_Orderd                               23:25
Time_Order_picked                         23:35
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 7005, dtype: object
