ID                                    0xdcc8
Delivery_person_ID             BHPRES11DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                23.233219
Restaurant_longitude               77.433571
Delivery_location_latitude         23.253219
Delivery_location_longitude        77.453571
Order_Date                        11-02-2022
Time_Orderd                             8:60
Time_Order_picked                       9:10
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   24.000000
Name: 39296, dtype: object
