ID                                       0x1ed3
Delivery_person_ID                MUMRES11DEL03
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   18.994237
Restaurant_longitude                  72.825553
Delivery_location_latitude            19.054237
Delivery_location_longitude           72.885553
Order_Date                           03-04-2022
Time_Orderd                               17:35
Time_Order_picked                         17:40
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 25477, dtype: object
