ID                                     0xca48
Delivery_person_ID             AURGRES17DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 19.876994
Restaurant_longitude                75.372353
Delivery_location_latitude          19.916994
Delivery_location_longitude         75.412353
Order_Date                         15-02-2022
Time_Orderd                             16:15
Time_Order_picked                       16:25
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 27340, dtype: object
