ID                                    0xab7a
Delivery_person_ID             JAPRES02DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.914142
Restaurant_longitude               75.805704
Delivery_location_latitude         27.044142
Delivery_location_longitude        75.935704
Order_Date                        12-03-2022
Time_Orderd                            20:30
Time_Order_picked                      20:40
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   40.000000
Name: 1419, dtype: object
