ID                                    0xc12a
Delivery_person_ID             DEHRES13DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.366322
Restaurant_longitude               78.070453
Delivery_location_latitude         30.506322
Delivery_location_longitude        78.210453
Order_Date                        14-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:25
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   15.000000
Name: 4043, dtype: object
