ID                                    0xd93c
Delivery_person_ID             DEHRES09DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                30.332735
Restaurant_longitude               78.054222
Delivery_location_latitude         30.442735
Delivery_location_longitude        78.164222
Order_Date                        14-02-2022
Time_Orderd                            23:25
Time_Order_picked                      23:30
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   38.000000
Name: 38032, dtype: object
