ID                                    0xd0bf
Delivery_person_ID             KOLRES12DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.551084
Restaurant_longitude               88.354127
Delivery_location_latitude         22.581084
Delivery_location_longitude        88.384127
Order_Date                        17-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:30
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 27169, dtype: object
