ID                                      0x466e
Delivery_person_ID             INDORES010DEL01
Delivery_person_Age                  34.000000
Delivery_person_Ratings               3.800000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.820040
Delivery_location_longitude          75.972847
Order_Date                          31-03-2022
Time_Orderd                              19:15
Time_Order_picked                        19:30
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     38.000000
Name: 42468, dtype: object
