ID                                       0xcb07
Delivery_person_ID                GOARES12DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   15.516833
Restaurant_longitude                  73.768172
Delivery_location_latitude            15.556833
Delivery_location_longitude           73.808172
Order_Date                           13-02-2022
Time_Orderd                               15:30
Time_Order_picked                         15:40
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 43520, dtype: object
