ID                                    0xd0ce
Delivery_person_ID             KOLRES11DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.577821
Restaurant_longitude               88.400581
Delivery_location_latitude         22.637821
Delivery_location_longitude        88.460581
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:60
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 42669, dtype: object
