ID                                    0xd7bf
Delivery_person_ID             ALHRES01DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                25.454648
Restaurant_longitude               81.834502
Delivery_location_latitude         25.494648
Delivery_location_longitude        81.874502
Order_Date                        15-02-2022
Time_Orderd                            12:25
Time_Order_picked                      12:40
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 18942, dtype: object
