ID                                     0x8fb2
Delivery_person_ID             PUNERES15DEL02
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 18.636215
Restaurant_longitude                73.751081
Delivery_location_latitude          18.716215
Delivery_location_longitude         73.831081
Order_Date                         12-03-2022
Time_Orderd                             21:20
Time_Order_picked                       21:30
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    33.000000
Name: 10760, dtype: object
