ID                                        0x8bf5
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    22.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.444422
Delivery_location_longitude            85.422900
Order_Date                            06-04-2022
Time_Orderd                                21:20
Time_Order_picked                          21:30
Weather conditions                         Windy
Road_traffic_density                         Jam
Vehicle_condition                              2
Type_of_order                               Meal
Type_of_vehicle                          scooter
multiple_deliveries                          NaN
Festival                                      No
City                               Metropolitian
Time_taken (min)                       29.000000
Name: 11447, dtype: object
