ID                                      0x8ed4
Delivery_person_ID             COIMBRES18DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.030910
Delivery_location_longitude          76.950432
Order_Date                          09-03-2022
Time_Orderd                              10:60
Time_Order_picked                        11:05
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     21.000000
Name: 16935, dtype: object
