ID                                      0x569c
Delivery_person_ID             COIMBRES06DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.051278
Delivery_location_longitude          77.025017
Order_Date                          19-03-2022
Time_Orderd                              22:20
Time_Order_picked                        22:35
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     22.000000
Name: 43950, dtype: object
