ID                                    0x120a
Delivery_person_ID             MUMRES13DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                19.178321
Restaurant_longitude               72.834715
Delivery_location_latitude         19.198321
Delivery_location_longitude        72.854715
Order_Date                        07-03-2022
Time_Orderd                             8:25
Time_Order_picked                       8:30
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 243, dtype: object
