ID                                      0x7ad1
Delivery_person_ID             COIMBRES11DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.051753
Delivery_location_longitude          77.036241
Order_Date                          05-04-2022
Time_Orderd                              20:45
Time_Order_picked                        20:55
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     21.000000
Name: 23902, dtype: object
