ID                                      0x938e
Delivery_person_ID             COIMBRES17DEL03
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.086117
Delivery_location_longitude          77.004652
Order_Date                          15-03-2022
Time_Orderd                              21:60
Time_Order_picked                        22:10
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                        NaN
Festival                                    No
City                             Metropolitian
Time_taken (min)                     38.000000
Name: 19367, dtype: object
