ID                                        0x63f
Delivery_person_ID               INDORES12DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   -22.74806
Restaurant_longitude                   75.89340
Delivery_location_latitude             22.79806
Delivery_location_longitude            75.94340
Order_Date                           24-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:25
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                     1.00000
Festival                                     No
City                              Metropolitian
Time_taken (min)                       23.00000
Name: 20137, dtype: object
