ID                                       0xda7d
Delivery_person_ID                GOARES14DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   15.157944
Restaurant_longitude                  73.950889
Delivery_location_latitude            15.207944
Delivery_location_longitude           74.000889
Order_Date                           15-02-2022
Time_Orderd                               21:50
Time_Order_picked                         21:55
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 12895, dtype: object
