ID                                    0xcaff
Delivery_person_ID             GOARES17DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             2.800000
Restaurant_latitude                15.496162
Restaurant_longitude               73.825364
Delivery_location_latitude         15.606162
Delivery_location_longitude        73.935364
Order_Date                        12-02-2022
Time_Orderd                            22:35
Time_Order_picked                      22:45
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 31092, dtype: object
