ID                                       0x1e76
Delivery_person_ID              COIMBRES06DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   11.021278
Restaurant_longitude                  76.995017
Delivery_location_latitude            11.091278
Delivery_location_longitude           77.065017
Order_Date                           02-03-2022
Time_Orderd                               17:55
Time_Order_picked                         18:10
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 25509, dtype: object
