ID                                    0xbf43
Delivery_person_ID             KNPRES14DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.463504
Restaurant_longitude               80.372929
Delivery_location_latitude         26.543504
Delivery_location_longitude        80.452929
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:15
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 40324, dtype: object
