ID                                       0xb63e
Delivery_person_ID             RANCHIRES11DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.359194
Restaurant_longitude                  85.325447
Delivery_location_latitude            23.429194
Delivery_location_longitude           85.395447
Order_Date                           20-03-2022
Time_Orderd                               17:55
Time_Order_picked                         18:10
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      27.000000
Name: 37691, dtype: object
