ID                                      0x5ad3
Delivery_person_ID             COIMBRES08DEL03
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.061852
Delivery_location_longitude          77.036268
Order_Date                          03-03-2022
Time_Orderd                              21:55
Time_Order_picked                        22:10
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     22.000000
Name: 23638, dtype: object
