ID                                        0x614b
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    33.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.414422
Delivery_location_longitude            85.392900
Order_Date                            05-04-2022
Time_Orderd                                20:60
Time_Order_picked                          21:15
Weather conditions                           Fog
Road_traffic_density                         Jam
Vehicle_condition                              0
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       33.000000
Name: 22141, dtype: object
