ID                                      0xdfea
Delivery_person_ID             LUDHRES010DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               3.800000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           31.032860
Delivery_location_longitude          75.962199
Order_Date                          12-02-2022
Time_Orderd                              19:35
Time_Order_picked                        19:40
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 30935, dtype: object
