ID                                       0xb88d
Delivery_person_ID                VADRES19DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.311844
Restaurant_longitude                  73.165081
Delivery_location_latitude            22.331844
Delivery_location_longitude           73.185081
Order_Date                           21-03-2022
Time_Orderd                               11:50
Time_Order_picked                         11:55
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 13938, dtype: object
