ID                                    0x4f2c
Delivery_person_ID             SURRES16DEL02
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                21.160437
Restaurant_longitude               72.774209
Delivery_location_latitude         21.180437
Delivery_location_longitude        72.794209
Order_Date                        30-03-2022
Time_Orderd                            11:40
Time_Order_picked                      11:45
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                 NaN
City                                     NaN
Time_taken (min)                   10.000000
Name: 14994, dtype: object
