ID                                     0x5ece
Delivery_person_ID             BANGRES06DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 12.979096
Restaurant_longitude                77.640625
Delivery_location_latitude          13.049096
Delivery_location_longitude         77.710625
Order_Date                         23-03-2022
Time_Orderd                             21:10
Time_Order_picked                       21:15
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    41.000000
Name: 16866, dtype: object
