ID                                    0xd4c0
Delivery_person_ID             DEHRES13DEL03
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                30.366322
Restaurant_longitude               78.070453
Delivery_location_latitude         30.456322
Delivery_location_longitude        78.160453
Order_Date                        16-02-2022
Time_Orderd                            21:10
Time_Order_picked                      21:15
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 18893, dtype: object
