ID                                     0xbb6e
Delivery_person_ID             PUNERES14DEL01
Delivery_person_Age                 30.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 18.516216
Restaurant_longitude                73.842527
Delivery_location_latitude          18.626216
Delivery_location_longitude         73.952527
Order_Date                         12-03-2022
Time_Orderd                             19:15
Time_Order_picked                       19:30
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 4145, dtype: object
