ID                                      0x43a
Delivery_person_ID             JAPRES010DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -26.921411
Restaurant_longitude               -75.793604
Delivery_location_latitude          26.991411
Delivery_location_longitude         75.863604
Order_Date                         08-03-2022
Time_Orderd                               NaN
Time_Order_picked                       23:60
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 40471, dtype: object
