ID                                      0x4cbd
Delivery_person_ID             COIMBRES11DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.071753
Delivery_location_longitude          77.056241
Order_Date                          04-04-2022
Time_Orderd                              17:10
Time_Order_picked                        17:15
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     42.000000
Name: 36791, dtype: object
