ID                                     0x3aac
Delivery_person_ID             BANGRES07DEL03
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 12.978453
Restaurant_longitude                77.643685
Delivery_location_latitude          13.008453
Delivery_location_longitude         77.673685
Order_Date                         07-03-2022
Time_Orderd                             17:15
Time_Order_picked                       17:30
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 14562, dtype: object
