ID                                       0xc6e0
Delivery_person_ID                KOCRES05DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                    9.970717
Restaurant_longitude                  76.285447
Delivery_location_latitude            10.040717
Delivery_location_longitude           76.355447
Order_Date                           16-02-2022
Time_Orderd                               19:35
Time_Order_picked                         19:40
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 33965, dtype: object
