ID                                    0xbf85
Delivery_person_ID             AGRRES01DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                27.161661
Restaurant_longitude               78.011544
Delivery_location_latitude         27.171661
Delivery_location_longitude        78.021544
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                       9:25
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   32.000000
Name: 18753, dtype: object
