ID                                      0xff2
Delivery_person_ID             PUNERES11DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 18.533811
Restaurant_longitude                73.899315
Delivery_location_latitude          18.573811
Delivery_location_longitude         73.939315
Order_Date                         17-03-2022
Time_Orderd                             14:60
Time_Order_picked                       15:15
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 12280, dtype: object
