ID                                     0x6abc
Delivery_person_ID             INDORES06DEL03
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 22.728163
Restaurant_longitude                75.884212
Delivery_location_latitude          22.818163
Delivery_location_longitude         75.974212
Order_Date                         25-03-2022
Time_Orderd                             21:35
Time_Order_picked                       21:40
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    41.000000
Name: 29841, dtype: object
