ID                                    0x28ea
Delivery_person_ID             MUMRES20DEL02
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.153249
Delivery_location_longitude        72.896749
Order_Date                        15-03-2022
Time_Orderd                            20:40
Time_Order_picked                      20:55
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   53.000000
Name: 45379, dtype: object
