ID                                    0xbb83
Delivery_person_ID             MUMRES07DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                19.091458
Restaurant_longitude               72.827808
Delivery_location_latitude         19.161458
Delivery_location_longitude        72.897808
Order_Date                        18-03-2022
Time_Orderd                            21:15
Time_Order_picked                      21:30
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   31.000000
Name: 5847, dtype: object
