ID                                    0x584d
Delivery_person_ID             MUMRES02DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                19.221315
Restaurant_longitude               72.862381
Delivery_location_latitude         19.271315
Delivery_location_longitude        72.912381
Order_Date                        30-03-2022
Time_Orderd                            21:60
Time_Order_picked                      22:10
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 34530, dtype: object
