ID                                      0xc72
Delivery_person_ID             CHENRES16DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 13.049645
Restaurant_longitude                80.242268
Delivery_location_latitude          13.119645
Delivery_location_longitude         80.312268
Order_Date                         29-03-2022
Time_Orderd                             17:15
Time_Order_picked                       17:20
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  3.000000
Festival                                  Yes
City                               Semi-Urban
Time_taken (min)                    49.000000
Name: 4377, dtype: object
