ID                                      0xba27
Delivery_person_ID             CHENRES010DEL03
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.096762
Delivery_location_longitude          80.281865
Order_Date                          24-03-2022
Time_Orderd                              20:10
Time_Order_picked                        20:25
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     47.000000
Name: 9306, dtype: object
