ID                                      0x1fed
Delivery_person_ID             COIMBRES04DEL03
Delivery_person_Age                  35.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.054839
Delivery_location_longitude          77.037003
Order_Date                          05-03-2022
Time_Orderd                              20:30
Time_Order_picked                        20:35
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     18.000000
Name: 2915, dtype: object
