ID                                       0x6ee8
Delivery_person_ID               PUNERES12DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   18.520016
Restaurant_longitude                  73.830547
Delivery_location_latitude            18.650016
Delivery_location_longitude           73.960547
Order_Date                           02-03-2022
Time_Orderd                               17:55
Time_Order_picked                         17:60
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 5116, dtype: object
