ID                                    0xd1cf
Delivery_person_ID             ALHRES08DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                25.450329
Restaurant_longitude               81.834279
Delivery_location_latitude         25.530329
Delivery_location_longitude        81.914279
Order_Date                        18-02-2022
Time_Orderd                            19:25
Time_Order_picked                      19:40
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 3715, dtype: object
