ID                                       0x18cb
Delivery_person_ID               BANGRES13DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.935662
Restaurant_longitude                  77.614130
Delivery_location_latitude            12.995662
Delivery_location_longitude           77.674130
Order_Date                           30-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:25
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 42218, dtype: object
