ID                                       0x2b3b
Delivery_person_ID             RANCHIRES03DEL02
Delivery_person_Age                       37.00
Delivery_person_Ratings                    4.10
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.13
Delivery_location_longitude                0.13
Order_Date                           18-03-2022
Time_Orderd                               22:15
Time_Order_picked                         22:25
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                          40.00
Name: 34827, dtype: object
