ID                                       0xae59
Delivery_person_ID              COIMBRES18DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   11.020910
Restaurant_longitude                  76.940432
Delivery_location_latitude            11.050910
Delivery_location_longitude           76.970432
Order_Date                           01-03-2022
Time_Orderd                               20:50
Time_Order_picked                         20:55
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 4748, dtype: object
