ID                                    0xdf54
Delivery_person_ID             KOLRES15DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                22.552672
Restaurant_longitude               88.352885
Delivery_location_latitude         22.562672
Delivery_location_longitude        88.362885
Order_Date                        11-02-2022
Time_Orderd                            11:35
Time_Order_picked                      11:40
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 19995, dtype: object
