ID                                     0x9bea
Delivery_person_ID             SURRES010DEL03
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 21.171060
Restaurant_longitude                72.789292
Delivery_location_latitude          21.261060
Delivery_location_longitude         72.879292
Order_Date                         27-03-2022
Time_Orderd                             22:50
Time_Order_picked                       22:55
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    22.000000
Name: 37983, dtype: object
