ID                                    0xbf3d
Delivery_person_ID             KNPRES18DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.474133
Restaurant_longitude               80.348100
Delivery_location_latitude         26.534133
Delivery_location_longitude        80.408100
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:45
Weather conditions                       NaN
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 34453, dtype: object
