ID                                    0xbd8f
Delivery_person_ID             JAPRES02DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.914142
Restaurant_longitude               75.805704
Delivery_location_latitude         26.924142
Delivery_location_longitude        75.815704
Order_Date                        03-04-2022
Time_Orderd                            10:25
Time_Order_picked                      10:35
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 6229, dtype: object
