ID                                     0xca04
Delivery_person_ID             AGRRES010DEL02
Delivery_person_Age                 30.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 27.163303
Restaurant_longitude                78.057044
Delivery_location_latitude          27.183303
Delivery_location_longitude         78.077044
Order_Date                         13-02-2022
Time_Orderd                             11:15
Time_Order_picked                       11:25
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 11974, dtype: object
