ID                                      0x88fc
Delivery_person_ID             COIMBRES09DEL03
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.038638
Delivery_location_longitude          77.014311
Order_Date                          17-03-2022
Time_Orderd                              17:40
Time_Order_picked                        17:55
Weather conditions                         Fog
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     18.000000
Name: 42956, dtype: object
