ID                                       0xccc2
Delivery_person_ID              LUDHRES010DEL03
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   30.892860
Restaurant_longitude                  75.822199
Delivery_location_latitude            30.952860
Delivery_location_longitude           75.882199
Order_Date                           13-02-2022
Time_Orderd                               22:60
Time_Order_picked                         23:05
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      13.000000
Name: 15809, dtype: object
