ID                                    0x8b5b
Delivery_person_ID             MYSRES04DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                12.308500
Restaurant_longitude               76.665808
Delivery_location_latitude         12.388500
Delivery_location_longitude        76.745808
Order_Date                        06-04-2022
Time_Orderd                            19:25
Time_Order_picked                      19:35
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   50.000000
Name: 40644, dtype: object
