ID                                    0x3ef0
Delivery_person_ID             JAPRES02DEL01
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.914142
Restaurant_longitude               75.805704
Delivery_location_latitude         26.954142
Delivery_location_longitude        75.845704
Order_Date                        05-03-2022
Time_Orderd                            16:55
Time_Order_picked                      16:60
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 11175, dtype: object
